Transaction ID,Fraud Score,Flagged,Reasons
1,0,False,Invalid submission date format
2,0,False,Invalid submission date format
3,0,False,Invalid submission date format
4,0,False,Invalid submission date format
5,0,False,Invalid submission date format
6,0,False,Invalid submission date format
7,0,False,Invalid submission date format
8,0,False,Invalid submission date format
9,0,False,Invalid submission date format
10,0,False,Invalid submission date format
11,0,False,Invalid submission date format
12,0,False,Invalid submission date format
13,0,False,Invalid submission date format
14,0,False,Invalid submission date format
15,0,False,Invalid submission date format
16,0,False,Invalid submission date format
17,0,False,Invalid submission date format
18,0,False,Invalid submission date format
19,0,False,Invalid submission date format
20,0,False,Invalid submission date format
21,0,False,Invalid submission date format
22,0,False,Invalid submission date format
23,0,False,Invalid submission date format
24,0,False,Invalid submission date format
25,0,False,Invalid submission date format
26,0,False,Invalid submission date format
27,0,False,Invalid submission date format
28,0,False,Invalid submission date format
29,0,False,Invalid submission date format
30,0,False,Invalid submission date format
31,0,False,Invalid submission date format
32,0,False,Invalid submission date format
33,0,False,Invalid submission date format
34,0,False,Invalid submission date format
35,0,False,Invalid submission date format
36,0,False,Invalid submission date format
37,0,False,Invalid submission date format
38,0,False,Invalid submission date format
39,0,False,Invalid submission date format
40,0,False,Invalid submission date format
41,0,False,Invalid submission date format
42,0,False,Invalid submission date format
43,0,False,Invalid submission date format
44,0,False,Invalid submission date format
45,0,False,Invalid submission date format
46,0,False,Invalid submission date format
47,0,False,Invalid submission date format
48,0,False,Invalid submission date format
49,0,False,Invalid submission date format
50,0,False,Invalid submission date format
51,0,False,Invalid submission date format
52,0,False,Invalid submission date format
53,0,False,Invalid submission date format
54,0,False,Invalid submission date format
55,0,False,Invalid submission date format
56,0,False,Invalid submission date format
57,0,False,Invalid submission date format
58,0,False,Invalid submission date format
59,0,False,Invalid submission date format
60,0,False,Invalid submission date format
61,0,False,Invalid submission date format
62,0,False,Invalid submission date format
63,0,False,Invalid submission date format
64,0,False,Invalid submission date format
65,0,False,Invalid submission date format
66,0,False,Invalid submission date format
67,0,False,Invalid submission date format
68,0,False,Invalid submission date format
69,0,False,Invalid submission date format
70,0,False,Invalid submission date format
71,0,False,Invalid submission date format
72,0,False,Invalid submission date format
73,0,False,Invalid submission date format
74,0,False,Invalid submission date format
75,0,False,Invalid submission date format
76,0,False,Invalid submission date format
77,0,False,Invalid submission date format
78,0,False,Invalid submission date format
79,0,False,Invalid submission date format
80,0,False,Invalid submission date format
81,0,False,Invalid submission date format
82,0,False,Invalid submission date format
83,0,False,Invalid submission date format
84,0,False,Invalid submission date format
85,0,False,Invalid submission date format
86,0,False,Invalid submission date format
87,0,False,Invalid submission date format
88,0,False,Invalid submission date format
89,0,False,Invalid submission date format
90,0,False,Invalid submission date format
91,0,False,Invalid submission date format
92,0,False,Invalid submission date format
93,0,False,Invalid submission date format
94,0,False,Invalid submission date format
95,0,False,Invalid submission date format
96,0,False,Invalid submission date format
97,0,False,Invalid submission date format
98,0,False,Invalid submission date format
99,0,False,Invalid submission date format
100,0,False,Invalid submission date format
101,0,False,Invalid submission date format
102,0,False,Invalid submission date format
103,0,False,Invalid submission date format
104,0,False,Invalid submission date format
105,0,False,Invalid submission date format
106,0,False,Invalid submission date format
107,0,False,Invalid submission date format
108,0,False,Invalid submission date format
109,0,False,Invalid submission date format
110,0,False,Invalid submission date format
111,0,False,Invalid submission date format
112,0,False,Invalid submission date format
113,0,False,Invalid submission date format
114,0,False,Invalid submission date format
115,0,False,Invalid submission date format
116,0,False,Invalid submission date format
117,0,False,Invalid submission date format
118,0,False,Invalid submission date format
119,0,False,Invalid submission date format
120,0,False,Invalid submission date format
121,0,False,Invalid submission date format
122,0,False,Invalid submission date format
123,0,False,Invalid submission date format
124,0,False,Invalid submission date format
125,0,False,Invalid submission date format
126,0,False,Invalid submission date format
127,0,False,Invalid submission date format
128,0,False,Invalid submission date format
129,0,False,Invalid submission date format
130,0,False,Invalid submission date format
131,0,False,Invalid submission date format
132,0,False,Invalid submission date format
133,0,False,Invalid submission date format
134,0,False,Invalid submission date format
135,0,False,Invalid submission date format
136,0,False,Invalid submission date format
137,0,False,Invalid submission date format
138,0,False,Invalid submission date format
139,0,False,Invalid submission date format
140,0,False,Invalid submission date format
141,0,False,Invalid submission date format
142,0,False,Invalid submission date format
143,0,False,Invalid submission date format
144,0,False,Invalid submission date format
145,0,False,Invalid submission date format
146,0,False,Invalid submission date format
147,0,False,Invalid submission date format
148,0,False,Invalid submission date format
149,0,False,Invalid submission date format
150,0,False,Invalid submission date format
151,0,False,Invalid submission date format
152,0,False,Invalid submission date format
153,0,False,Invalid submission date format
154,0,False,Invalid submission date format
155,0,False,Invalid submission date format
156,0,False,Invalid submission date format
157,0,False,Invalid submission date format
158,0,False,Invalid submission date format
159,0,False,Invalid submission date format
160,0,False,Invalid submission date format
161,0,False,Invalid submission date format
162,0,False,Invalid submission date format
163,0,False,Invalid submission date format
164,0,False,Invalid submission date format
165,0,False,Invalid submission date format
166,0,False,Invalid submission date format
167,0,False,Invalid submission date format
168,0,False,Invalid submission date format
169,0,False,Invalid submission date format
170,0,False,Invalid submission date format
171,0,False,Invalid submission date format
172,0,False,Invalid submission date format
173,0,False,Invalid submission date format
174,0,False,Invalid submission date format
175,0,False,Invalid submission date format
176,0,False,Invalid submission date format
177,0,False,Invalid submission date format
178,0,False,Invalid submission date format
179,0,False,Invalid submission date format
180,0,False,Invalid submission date format
181,0,False,Invalid submission date format
182,0,False,Invalid submission date format
183,0,False,Invalid submission date format
184,0,False,Invalid submission date format
185,0,False,Invalid submission date format
186,0,False,Invalid submission date format
187,0,False,Invalid submission date format
188,0,False,Invalid submission date format
189,0,False,Invalid submission date format
190,0,False,Invalid submission date format
191,0,False,Invalid submission date format
192,0,False,Invalid submission date format
193,0,False,Invalid submission date format
194,0,False,Invalid submission date format
195,0,False,Invalid submission date format
196,0,False,Invalid submission date format
197,0,False,Invalid submission date format
198,0,False,Invalid submission date format
199,0,False,Invalid submission date format
200,0,False,Invalid submission date format
201,0,False,Invalid submission date format
202,0,False,Invalid submission date format
203,0,False,Invalid submission date format
204,0,False,Invalid submission date format
205,0,False,Invalid submission date format
206,0,False,Invalid submission date format
207,0,False,Invalid submission date format
208,0,False,Invalid submission date format
209,0,False,Invalid submission date format
210,0,False,Invalid submission date format
211,0,False,Invalid submission date format
212,0,False,Invalid submission date format
213,0,False,Invalid submission date format
214,0,False,Invalid submission date format
215,0,False,Invalid submission date format
216,0,False,Invalid submission date format
217,0,False,Invalid submission date format
218,0,False,Invalid submission date format
219,0,False,Invalid submission date format
220,0,False,Invalid submission date format
221,0,False,Invalid submission date format
222,0,False,Invalid submission date format
223,0,False,Invalid submission date format
224,0,False,Invalid submission date format
225,0,False,Invalid submission date format
226,0,False,Invalid submission date format
227,0,False,Invalid submission date format
228,0,False,Invalid submission date format
229,0,False,Invalid submission date format
230,0,False,Invalid submission date format
231,0,False,Invalid submission date format
232,0,False,Invalid submission date format
233,0,False,Invalid submission date format
234,0,False,Invalid submission date format
235,0,False,Invalid submission date format
236,0,False,Invalid submission date format
237,0,False,Invalid submission date format
238,0,False,Invalid submission date format
239,0,False,Invalid submission date format
240,0,False,Invalid submission date format
241,0,False,Invalid submission date format
242,0,False,Invalid submission date format
243,0,False,Invalid submission date format
244,0,False,Invalid submission date format
245,0,False,Invalid submission date format
246,0,False,Invalid submission date format
247,0,False,Invalid submission date format
248,0,False,Invalid submission date format
249,0,False,Invalid submission date format
250,0,False,Invalid submission date format
251,0,False,Invalid submission date format
252,0,False,Invalid submission date format
253,0,False,Invalid submission date format
254,0,False,Invalid submission date format
255,0,False,Invalid submission date format
256,0,False,Invalid submission date format
257,0,False,Invalid submission date format
258,0,False,Invalid submission date format
259,0,False,Invalid submission date format
260,0,False,Invalid submission date format
261,0,False,Invalid submission date format
262,0,False,Invalid submission date format
263,0,False,Invalid submission date format
264,0,False,Invalid submission date format
265,0,False,Invalid submission date format
266,0,False,Invalid submission date format
267,0,False,Invalid submission date format
268,0,False,Invalid submission date format
269,0,False,Invalid submission date format
270,0,False,Invalid submission date format
271,0,False,Invalid submission date format
272,0,False,Invalid submission date format
273,0,False,Invalid submission date format
274,0,False,Invalid submission date format
275,0,False,Invalid submission date format
276,0,False,Invalid submission date format
277,0,False,Invalid submission date format
278,0,False,Invalid submission date format
279,0,False,Invalid submission date format
280,0,False,Invalid submission date format
281,0,False,Invalid submission date format
282,0,False,Invalid submission date format
283,0,False,Invalid submission date format
284,0,False,Invalid submission date format
285,0,False,Invalid submission date format
286,0,False,Invalid submission date format
287,0,False,Invalid submission date format
288,0,False,Invalid submission date format
289,0,False,Invalid submission date format
290,0,False,Invalid submission date format
291,0,False,Invalid submission date format
292,0,False,Invalid submission date format
293,0,False,Invalid submission date format
294,0,False,Invalid submission date format
295,0,False,Invalid submission date format
296,0,False,Invalid submission date format
297,0,False,Invalid submission date format
298,0,False,Invalid submission date format
299,0,False,Invalid submission date format
300,0,False,Invalid submission date format
301,0,False,Invalid submission date format
302,0,False,Invalid submission date format
303,0,False,Invalid submission date format
304,0,False,Invalid submission date format
305,0,False,Invalid submission date format
306,0,False,Invalid submission date format
307,0,False,Invalid submission date format
308,0,False,Invalid submission date format
309,0,False,Invalid submission date format
310,0,False,Invalid submission date format
311,0,False,Invalid submission date format
312,0,False,Invalid submission date format
313,0,False,Invalid submission date format
314,0,False,Invalid submission date format
315,0,False,Invalid submission date format
316,0,False,Invalid submission date format
317,0,False,Invalid submission date format
318,0,False,Invalid submission date format
319,0,False,Invalid submission date format
320,0,False,Invalid submission date format
321,0,False,Invalid submission date format
